	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L3S360	1.0	0.9902912621359223	0.992	0.9819819819819819	0.9912280701754386	1.0	1.0	1.0	0.896	0.8728813559322034	0.8256880733944955	0.7428571428571429	0.975609756097561	0.8314606741573034	0.8837209302325582	0.935064935064935	1.0	0.8987341772151899	0.8823529411764706	0.8518518518518519	0.0	0.9743589743589743	0.8671328671328671	0.9251700680272109	0.8563218390804598	0.9863013698630136	0.9710144927536232	0.9868421052631579	0.9459459459459459	0.9722222222222222	0.9565217391304348	0.9625	0.95	0.9555555555555556
L3S378	0.8571428571428571	0.6229508196721312	0.7674418604651163	0.7083333333333334	0.6986301369863014	0.8552631578947368	0.828125	0.8181818181818182	0.9827586206896551	0.9910714285714286	0.9906542056074766	0.987012987012987	0.967741935483871	0.95	0.972972972972973	0.993006993006993	0.8095238095238095	0.9848484848484849	0.9864864864864865	0.971830985915493	0.9743589743589743	0.0	0.9929078014184397	0.9927007299270073	0.9943820224719101	0.9811320754716981	0.9591836734693877	0.9821428571428571	0.9642857142857143	0.9811320754716981	0.96	0.9672131147540983	0.9841269841269841	0.9722222222222222
L4S112	0.9811320754716981	0.9878048780487805	0.989247311827957	0.9884393063583815	0.9943181818181818	0.9880239520958084	0.9870967741935484	0.9791666666666666	0.7654320987654321	0.7254901960784313	0.7898089171974523	0.797979797979798	0.8854961832061069	0.7883211678832117	0.6833333333333333	0.8350515463917526	0.9767441860465116	0.8538461538461538	0.8015267175572519	0.7698412698412699	0.8671328671328671	0.9929078014184397	0.0	0.75	0.7268292682926829	0.912	0.9186991869918699	0.9140625	0.88	0.9032258064516129	0.9105691056910569	0.9097744360902256	0.8769230769230769	0.8695652173913043
L4S137	0.9871794871794872	0.9875	0.994535519125683	0.9941176470588236	1.0	1.0	1.0	0.9929577464788732	0.7975460122699386	0.743421052631579	0.9058823529411765	0.8909952606635071	0.873015873015873	0.8591549295774648	0.7874015748031497	0.5859872611464968	0.9841269841269841	0.8492063492063492	0.7952755905511811	0.8731343283582089	0.9251700680272109	0.9927007299270073	0.75	0.0	0.8475336322869955	0.8813559322033898	0.9067796610169492	0.9024390243902439	0.8666666666666667	0.9	0.8983050847457628	0.889763779527559	0.8548387096774194	0.8125
L4S63	0.9898477157360406	0.985	0.9955357142857143	0.995260663507109	1.0	1.0	1.0	0.994535519125683	0.7846153846153846	0.7979274611398963	0.772972972972973	0.7442922374429224	0.9235294117647059	0.7771084337349398	0.7888198757763976	0.8949579831932774	0.9880239520958084	0.8795180722891566	0.8383233532934131	0.8502994011976048	0.8563218390804598	0.9943820224719101	0.7268292682926829	0.8475336322869955	0.0	0.9451219512195121	0.9440993788819876	0.9461077844311377	0.9272727272727272	0.9320987654320988	0.937888198757764	0.935672514619883	0.9171597633136095	0.9337016574585635
L5S104	0.9863013698630136	1.0	0.9795918367346939	1.0	1.0	0.9875	0.9852941176470589	0.9649122807017544	0.912621359223301	0.8617021276595744	0.9696969696969697	0.9795918367346939	0.5853658536585366	0.9459459459459459	0.8888888888888888	0.9133858267716536	0.926829268292683	0.9298245614035088	0.85	0.953125	0.9863013698630136	0.9811320754716981	0.912	0.8813559322033898	0.9451219512195121	0.0	0.5483870967741935	0.5	0.5142857142857142	0.45161290322580644	0.5161290322580645	0.575	0.6511627906976745	0.6666666666666666
L5S155	0.9857142857142858	0.9864864864864865	0.9680851063829787	0.9879518072289156	0.9882352941176471	0.987012987012987	0.9846153846153847	0.9629629629629629	0.941747572815534	0.9052631578947369	0.979381443298969	0.9791666666666666	0.5897435897435898	0.9285714285714286	0.9016393442622951	0.9285714285714286	0.9210526315789473	0.9642857142857143	0.8620689655172413	0.967741935483871	0.9710144927536232	0.9591836734693877	0.9186991869918699	0.9067796610169492	0.9440993788819876	0.5483870967741935	0.0	0.5	0.46875	0.4482758620689655	0.4642857142857143	0.5789473684210527	0.6904761904761905	0.7254901960784313
L5S174	1.0	1.0	0.9801980198019802	1.0	1.0	1.0	1.0	0.9836065573770492	0.944954128440367	0.9108910891089109	0.9805825242718447	0.98	0.5121951219512195	0.948051948051948	0.9104477611940298	0.9318181818181818	0.9555555555555556	0.9508196721311475	0.875	0.9705882352941176	0.9868421052631579	0.9821428571428571	0.9140625	0.9024390243902439	0.9461077844311377	0.5	0.5	0.0	0.5135135135135135	0.40625	0.5151515151515151	0.5714285714285714	0.6444444444444445	0.660377358490566
L5S203	1.0	0.9876543209876543	0.9702970297029703	0.9888888888888889	0.9891304347826086	1.0	1.0	0.9838709677419355	0.8952380952380953	0.8673469387755102	0.9607843137254902	0.9594594594594594	0.6521739130434783	0.9066666666666666	0.8615384615384616	0.8992248062015504	0.9565217391304348	0.8983050847457628	0.859375	0.9242424242424242	0.9459459459459459	0.9642857142857143	0.88	0.8666666666666667	0.9272727272727272	0.5142857142857142	0.46875	0.5135135135135135	0.0	0.3225806451612903	0.5294117647058824	0.5813953488372093	0.5581395348837209	0.6909090909090909
L5S222	1.0	1.0	0.9795918367346939	1.0	1.0	1.0	1.0	0.9827586206896551	0.9230769230769231	0.8854166666666666	0.9591836734693877	0.9655172413793104	0.55	0.9166666666666666	0.8709677419354839	0.9302325581395349	0.9523809523809523	0.9107142857142857	0.85	0.9365079365079365	0.9722222222222222	0.9811320754716981	0.9032258064516129	0.9	0.9320987654320988	0.45161290322580644	0.4482758620689655	0.40625	0.3225806451612903	0.0	0.4666666666666667	0.5	0.5128205128205128	0.64
