	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S63	0.9951456310679612	0.9902912621359223	0.9963592233009708	0.9975728155339806	1.0	1.0	1.0	0.9963592233009708	0.6796116504854369	0.6686893203883495	0.7378640776699029	0.6978155339805825	0.8725728155339806	0.4563106796116505	0.5303398058252428	0.8131067961165048	0.991504854368932	0.7366504854368932	0.6140776699029126	0.7305825242718447	0.7560679611650486	0.9963592233009708	0.5133495145631068	0.7524271844660194	0.0	0.9053398058252428	0.9053398058252428	0.9053398058252428	0.9004854368932039	0.9004854368932039	0.8822815533980582	0.9016990291262136	0.875	0.883495145631068
L5S104	0.9939320388349514	1.0	0.9951456310679612	1.0	1.0	0.9939320388349514	0.9939320388349514	0.9890776699029126	0.8701456310679612	0.7888349514563107	0.9587378640776699	0.9526699029126213	0.3737864077669903	0.8470873786407767	0.8155339805825242	0.8216019417475728	0.9842233009708737	0.9393203883495146	0.7949029126213593	0.8992718446601942	0.9575242718446602	0.9963592233009708	0.8021844660194175	0.7803398058252428	0.9053398058252428	0.0	0.3470873786407767	0.49393203883495146	0.29975728155339804	0.404126213592233	0.3118932038834951	0.6067961165048543	0.46359223300970875	0.5764563106796117
L5S155	0.9987864077669902	0.9987864077669902	0.9939320388349514	0.9987864077669902	0.9987864077669902	0.9987864077669902	0.9987864077669902	0.9939320388349514	0.8907766990291263	0.8337378640776699	0.9635922330097088	0.9526699029126213	0.44660194174757284	0.8798543689320388	0.8555825242718447	0.8628640776699029	0.9890776699029126	0.9514563106796117	0.8058252427184466	0.9053398058252428	0.9550970873786407	0.9951456310679612	0.8422330097087378	0.8252427184466019	0.9053398058252428	0.3470873786407767	0.0	0.5157766990291263	0.22572815533980584	0.3155339805825243	0.4393203883495146	0.6759708737864077	0.558252427184466	0.6796116504854369
L5S174	1.0	1.0	0.9951456310679612	1.0	1.0	1.0	1.0	0.9951456310679612	0.9150485436893204	0.8652912621359223	0.9635922330097088	0.9526699029126213	0.5279126213592233	0.9053398058252428	0.8847087378640777	0.8944174757281553	0.9902912621359223	0.9490291262135923	0.8640776699029126	0.9259708737864077	0.9575242718446602	0.9963592233009708	0.8725728155339806	0.8543689320388349	0.9053398058252428	0.49393203883495146	0.5157766990291263	0.0	0.4538834951456311	0.42597087378640774	0.5643203883495146	0.6516990291262136	0.6213592233009708	0.5837378640776699
L5S203	1.0	0.9975728155339806	0.9927184466019418	0.9975728155339806	0.9975728155339806	1.0	1.0	0.9951456310679612	0.8677184466019418	0.8131067961165048	0.9550970873786407	0.9441747572815534	0.4211165048543689	0.8604368932038835	0.8422330097087378	0.8398058252427184	0.9902912621359223	0.9308252427184466	0.8179611650485437	0.8932038834951457	0.9478155339805825	0.9939320388349514	0.8264563106796117	0.8046116504854369	0.9004854368932039	0.29975728155339804	0.22572815533980584	0.4538834951456311	0.0	0.20266990291262135	0.4563106796116505	0.5740291262135923	0.5	0.587378640776699
L5S222	1.0	1.0	0.9951456310679612	1.0	1.0	1.0	1.0	0.9963592233009708	0.9114077669902912	0.8604368932038835	0.9563106796116505	0.9490291262135923	0.4356796116504854	0.8919902912621359	0.8810679611650486	0.8859223300970874	0.991504854368932	0.9453883495145631	0.8701456310679612	0.912621359223301	0.9550970873786407	0.9963592233009708	0.8701456310679612	0.8434466019417476	0.9004854368932039	0.404126213592233	0.3155339805825243	0.42597087378640774	0.20266990291262135	0.0	0.5036407766990292	0.6201456310679612	0.5060679611650486	0.5558252427184466
L5S240	1.0	0.9939320388349514	0.9902912621359223	0.9939320388349514	0.9939320388349514	1.0	1.0	0.9951456310679612	0.8968446601941747	0.845873786407767	0.9550970873786407	0.9429611650485437	0.16262135922330098	0.8483009708737864	0.8118932038834952	0.8580097087378641	0.9902912621359223	0.9490291262135923	0.8446601941747572	0.8822815533980582	0.9320388349514563	0.9902912621359223	0.8240291262135923	0.7973300970873787	0.8822815533980582	0.3118932038834951	0.4393203883495146	0.5643203883495146	0.4563106796116505	0.5036407766990292	0.0	0.38470873786407767	0.23907766990291263	0.42839805825242716
L6S20	1.0	0.9987864077669902	0.9939320388349514	0.9987864077669902	0.9987864077669902	1.0	1.0	0.9951456310679612	0.9283980582524272	0.8932038834951457	0.9550970873786407	0.9429611650485437	0.3762135922330097	0.8932038834951457	0.8567961165048543	0.8847087378640777	0.9902912621359223	0.9502427184466019	0.8883495145631068	0.9174757281553398	0.9368932038834952	0.9951456310679612	0.8616504854368932	0.8361650485436893	0.9016990291262136	0.6067961165048543	0.6759708737864077	0.6516990291262136	0.5740291262135923	0.6201456310679612	0.38470873786407767	0.0	0.32524271844660196	0.49271844660194175
L6S68	1.0	1.0	0.9963592233009708	1.0	1.0	1.0	1.0	0.9951456310679612	0.8871359223300971	0.8470873786407767	0.9429611650485437	0.9381067961165048	0.220873786407767	0.8313106796116505	0.8009708737864077	0.8349514563106796	0.9902912621359223	0.9368932038834952	0.8543689320388349	0.8580097087378641	0.9344660194174758	0.9963592233009708	0.8106796116504854	0.7742718446601942	0.875	0.46359223300970875	0.558252427184466	0.6213592233009708	0.5	0.5060679611650486	0.23907766990291263	0.32524271844660196	0.0	0.41262135922330095
L6S93	0.9975728155339806	0.9987864077669902	0.9939320388349514	0.9987864077669902	0.9987864077669902	1.0	1.0	0.9951456310679612	0.9029126213592233	0.8628640776699029	0.9429611650485437	0.9356796116504854	0.41140776699029125	0.8567961165048543	0.8216019417475728	0.8240291262135923	0.9902912621359223	0.9344660194174758	0.8762135922330098	0.8652912621359223	0.933252427184466	0.9951456310679612	0.8300970873786407	0.7742718446601942	0.883495145631068	0.5764563106796117	0.6796116504854369	0.5837378640776699	0.587378640776699	0.5558252427184466	0.42839805825242716	0.49271844660194175	0.41262135922330095	0.0
